"diagnostic_id","demographic","model","target_id","quantity","value","producer","source_script","source_script_sha256","source_theta","source_ranking","grade_col","n","grade_count","overall_sd","between_sd","r2_proportion","r2_percent","replicated","paper","delta","tolerance","unit","class","milestone","status","reason","notes"
"race_log_dif_binary_r2_percent","race","log_dif_binary","race_baseline_r2","race baseline grade R2","r2_percent","gp_krw_r2","../KRW-2024-companion-public/code/rsquared.do","84f2d34d31bdae4ece8689c41855da35cdbae6f19c45841209673828cf1b6b39","../KRW-2024-companion-public/data/theta_estimates_race.csv","../KRW-2024-companion-public/dump/ranking_results_log_dif_binary_race.csv","grades_lamb0.25",97,3,0.068517786177064,0.0339817975178244,0.245972214331222,24.5972214331222,24.5972214331222,25,-0.402778566877775,1,"percent","banded","M1","PASS",,"Computed from KRW rsquared.do second-moment recipe; not produced by generic gp_r2()."
"race_log_dif_binary_between_sd","race","log_dif_binary","race_baseline_betweengrade_sd","race between-grade SD","between_sd","gp_krw_r2","../KRW-2024-companion-public/code/rsquared.do","84f2d34d31bdae4ece8689c41855da35cdbae6f19c45841209673828cf1b6b39","../KRW-2024-companion-public/data/theta_estimates_race.csv","../KRW-2024-companion-public/dump/ranking_results_log_dif_binary_race.csv","grades_lamb0.25",97,3,0.068517786177064,0.0339817975178244,0.245972214331222,24.5972214331222,0.0339817975178244,0.034,-1.82024821756069e-05,0.001,"sd","banded","M1","PASS",,"Computed from KRW rsquared.do second-moment recipe; not produced by generic gp_r2()."
"gender_log_dif_binary_r2_percent","gender","log_dif_binary","gender_baseline_r2","gender baseline grade R2","r2_percent","gp_krw_r2","../KRW-2024-companion-public/code/rsquared.do","84f2d34d31bdae4ece8689c41855da35cdbae6f19c45841209673828cf1b6b39","../KRW-2024-companion-public/data/theta_estimates_gender.csv","../KRW-2024-companion-public/dump/ranking_results_log_dif_binary_gender.csv","grades_lamb0.25",97,4,0.193746600442656,0.128104141869321,0.437177861484058,43.7177861484058,43.7177861484058,44,-0.282213851594229,1,"percent","banded","M1","PASS",,"Computed from KRW rsquared.do second-moment recipe; not produced by generic gp_r2()."
"race_industry_rfe_binary_r2_percent","race","industry_rfe_binary","race_industry_r2","race-industry grade R2","r2_percent","gp_krw_r2","../KRW-2024-companion-public/code/rsquared.do","84f2d34d31bdae4ece8689c41855da35cdbae6f19c45841209673828cf1b6b39","../KRW-2024-companion-public/data/theta_estimates_race.csv","../KRW-2024-companion-public/dump/ranking_results_industry_rfe_binary_race.csv","grades_lamb0.25",97,4,0.068517786177064,0.0573835234778085,0.701403256675552,70.1403256675552,70.1403256675552,70,0.14032566755516,1,"percent","approximate","M2","PASS",,"Computed from KRW rsquared.do second-moment recipe; not produced by generic gp_r2()."
"gender_industry_rfe_binary_r2_percent","gender","industry_rfe_binary","gender_industry_r2","gender-industry grade R2","r2_percent","gp_krw_r2","../KRW-2024-companion-public/code/rsquared.do","84f2d34d31bdae4ece8689c41855da35cdbae6f19c45841209673828cf1b6b39","../KRW-2024-companion-public/data/theta_estimates_gender.csv","../KRW-2024-companion-public/dump/ranking_results_industry_rfe_binary_gender.csv","grades_lamb0.25",97,5,0.193746600442656,0.118969803472637,0.377055522895268,37.7055522895268,37.7055522895268,38,-0.29444771047325,1,"percent","approximate","M2","PASS",,"Computed from KRW rsquared.do second-moment recipe; not produced by generic gp_r2()."
