"gate","layer","target","id","group","status","reason","producer_status","registry_class","effective_class","paper","replicated","delta","tol","unit","fixture_decision","source","notes"
"M2_ACCEPTANCE","formal_gate","overall","m2_acceptance","M2 acceptance","PARTIAL_ACCEPTED","ONE_OR_MORE_L02_ROWS_REMAIN_APPROXIMATE","OK","mixed","mixed",,,,,"gate","panel_specific","gp_m2_acceptance","Exact L01/N10 gates pass; L02 continuous rows promote panel-by-panel from fixture evidence."
"L01","registered_target","race_industry_grade_count","race_industry_ngrades","Industry grade counts","PASS",,"OK","exact","exact",4,4,0,0,"count","not_applicable","gp_check","L01 exact race industry grade count: 4."
"L01","registered_target","gender_industry_grade_count","gender_industry_ngrades","Industry grade counts","PASS",,"OK","exact","exact",5,5,0,0,"count","not_applicable","gp_check","L01 exact gender industry grade count: 5."
"OVERRIDE","component_evidence","same_industry_override","same_industry_override","Two-level pairwise","EVIDENCE_OK",,"OK","n/a","n/a",,,,,"evidence","same_industry_override_test","test-same-industry-override.R","Tests pin L_ij = L_i for same-industry pairs and route all five Pi matrices through the same denominator."
"N10","synthetic_guard","n10_race_mult_ngrades","n10_race_mult_ngrades","N10 support parity","EVIDENCE_OK","synthetic_exact_count","OK","exact","exact",,4,,0,"count","synthetic_guard","test-n10-support-parity.R","N10 race multiplicative fixture returns 4 grades exactly."
"N10","synthetic_guard","n10_race_mult_support","n10_race_mult_support","N10 support parity","EVIDENCE_OK","synthetic_banded_support","OK","banded","banded",,0,,,"other","synthetic_guard","test-n10-support-parity.R","N10 race support endpoint matches analytic range within 1e-12."
"N10","synthetic_guard","n10_gender_add_ngrades","n10_gender_add_ngrades","N10 support parity","EVIDENCE_OK","synthetic_exact_count","OK","exact","exact",,5,,0,"count","synthetic_guard","test-n10-support-parity.R","N10 gender additive fixture returns 5 grades exactly."
"N10","synthetic_guard","n10_gender_add_support","n10_gender_add_support","N10 support parity","EVIDENCE_OK","synthetic_banded_support","OK","banded","banded",,0,,,"other","synthetic_guard","test-n10-support-parity.R","N10 gender support endpoint matches analytic range within 1e-12."
"L02","promotion_gate","race_industry_dr","race_industry_dr","race industry continuous","APPROXIMATE_OK","fixture_gate_not_promoted","APPROXIMATE_OK","approximate","approximate",5.6,,,1,"percent","approximate","gp_twolevel_fixture_gate","Race gate: class_decision=approximate; reason=Pi_theta outside 1pp fixture band; Pi_theta gap=0.0121756787."
"L02","promotion_gate","race_industry_tau","race_industry_tau","race industry continuous","APPROXIMATE_OK","fixture_gate_not_promoted","APPROXIMATE_OK","approximate","approximate",0.46,,,0.05,"correlation","approximate","gp_twolevel_fixture_gate","Race gate: class_decision=approximate; reason=Pi_theta outside 1pp fixture band; Pi_theta gap=0.0121756787."
"L02","promotion_gate","race_industry_r2","race_industry_r2","race industry continuous","APPROXIMATE_OK","fixture_gate_not_promoted","APPROXIMATE_OK","approximate","approximate",70,,,1,"percent","approximate","gp_twolevel_fixture_gate","Race gate: class_decision=approximate; reason=Pi_theta outside 1pp fixture band; Pi_theta gap=0.0121756787."
"L02","promotion_gate","gender_industry_dr","gender_industry_dr","gender industry continuous","PROMOTED","fixture_gate_passed","OK","approximate","banded",1,,,1,"percent","banded_candidate","gp_twolevel_fixture_gate","Gender gate: class_decision=banded_candidate; reason=all fixture checks passed; Pi_theta gap=0.006633582."
"L02","promotion_gate","gender_industry_tau","gender_industry_tau","gender industry continuous","PROMOTED","fixture_gate_passed","OK","approximate","banded",0.16,,,0.05,"correlation","banded_candidate","gp_twolevel_fixture_gate","Gender gate: class_decision=banded_candidate; reason=all fixture checks passed; Pi_theta gap=0.006633582."
"L02","promotion_gate","gender_industry_r2","gender_industry_r2","gender industry continuous","PROMOTED","fixture_gate_passed","OK","approximate","banded",38,,,1,"percent","banded_candidate","gp_twolevel_fixture_gate","Gender gate: class_decision=banded_candidate; reason=all fixture checks passed; Pi_theta gap=0.006633582."
