diagnostic_id,input_source,workflow,source_role,producer_status,deconv_status,deconv_message,beta,m_hat_sigma_xi,V_m,caps_lo,caps_hi,v_min,v_max,s_min,s_max,theta_min,theta_max,se_min,se_max,deconv_penalty,deconv_J,deconv_converged,deconv_elapsed_sec,selected_lambda,solver_status,raw_solver_status,selected_grade_count,selected_distribution,expected_grade_count,expected_distribution,grade_count_match,distribution_match,accepted,selected_objective,best_bound,mipgap,solver_runtime_sec,elapsed_sec,problem_hash,diagnosis,notes
krw_gmm_input_controlled,inst/extdata/krw-gmm-input/theta_estimates_matlab_gender.csv,one_level_independence,source_truth,SOLVER_TIME_LIMIT,OK,,1.255381,1.233586,0.315264,-6.16793,6.16793,-5.979377,4.66538,1.11254,2.310036,-0.7258916,1.568249,0.0376851,0.6586289,0.0065,0.001179997,TRUE,22.262,0.25,time_limit,TIME_LIMIT,4,1:1;2:3;3:89;4:4,4,1:1;2:3;3:89;4:4,TRUE,TRUE,FALSE,-77.60038,-80.81006,0.04136163,60.03254,94.245,c836d03f40d2cf772bf99860dd1b4c558c7e723726ec3558ece3bfd500ed6cc4,DECONV_FIXED_SOLVER_CERTIFICATE_PENDING,KRW Matlab GMM input deconvolves successfully and matches the published gender lambda 0.25 distribution but the selected solve stopped at time_limit.
krw_firms_public_example,data/krw_firms.rda,one_level_independence,bundled_example,DECONV_BOUNDARY_ERROR,FAILED,Deconvolution failed because no penalty on the grid produced a finite fit.,2.996597,867.9621,12265489,-4772.931,6075.735,-4772.931,9160.677,156.077,8335.33,-0.1981236,0.1378382,0.01086919,0.07970054,,,,5.478,0.25,,,,,4,1:1;2:3;3:89;4:4,FALSE,FALSE,FALSE,,,,,5.478,,INPUT_SOURCE_MISMATCH_BOUNDARY_REPRODUCER,Bundled krw_firms is a public example input and not the KRW Matlab GMM source-truth series used for M1 precision parity.
