-3.8115,8.0268e-07
-3.7809,2.9315e-06
-3.7502,2.2511e-06
-3.7196,3.2711e-06
-3.689,2.7822e-06
-3.6584,2.7142e-06
-3.6278,2.3737e-06
-3.5972,2.3219e-06
-3.5665,2.009e-06
-3.5359,1.9484e-06
-3.5053,1.6859e-06
-3.4747,1.7004e-06
-3.4441,1.3944e-06
-3.4135,1.4708e-06
-3.3828,1.2189e-06
-3.3522,1.3112e-06
-3.3216,1.0985e-06
-3.291,1.2107e-06
-3.2604,1.037e-06
-3.2298,1.1569e-06
-3.1992,1.0133e-06
-3.1685,1.169e-06
-3.1379,1.8435e-06
-3.1073,4.1776e-06
-3.0767,4.1805e-06
-3.0461,4.815e-06
-3.0155,4.4711e-06
-2.9848,4.9279e-06
-2.9542,4.5386e-06
-2.9236,4.8001e-06
-2.893,4.2159e-06
-2.8624,4.9966e-06
-2.8318,5.2932e-06
-2.8011,5.6035e-06
-2.7705,6.8657e-06
-2.7399,7.3264e-06
-2.7093,1.0646e-05
-2.6787,1.4702e-05
-2.6481,1.7292e-05
-2.6174,1.9809e-05
-2.5868,2.4511e-05
-2.5562,2.888e-05
-2.5256,4.0306e-05
-2.495,4.5393e-05
-2.4644,5.8072e-05
-2.4338,6.7045e-05
-2.4031,8.6754e-05
-2.3725,9.8036e-05
-2.3419,0.0001269
-2.3113,0.00014375
-2.2807,0.00018419
-2.2501,0.00020484
-2.2194,0.00025878
-2.1888,0.00028035
-2.1582,0.00034084
-2.1276,0.00036113
-2.097,0.00043321
-2.0664,0.00044693
-2.0357,0.0006238
-2.0051,0.00045238
-1.9745,0.00070504
-1.9439,0.0005203
-1.9133,0.00079908
-1.8827,0.00063247
-1.852,0.00090998
-1.8214,0.00077974
-1.7908,0.00094822
-1.7602,0.00087462
-1.7296,0.0010795
-1.699,0.0010668
-1.6684,0.001301
-1.6377,0.0012867
-1.6071,0.0013653
-1.5765,0.0013764
-1.5459,0.001602
-1.5153,0.0016887
-1.4847,0.0018683
-1.454,0.0019111
-1.4234,0.0020848
-1.3928,0.0021476
-1.3622,0.002219
-1.3316,0.0021832
-1.301,0.0023431
-1.2703,0.0023158
-1.2397,0.0022631
-1.2091,0.0023074
-1.1785,0.002454
-1.1479,0.0025371
-1.1173,0.0027196
-1.0866,0.0028056
-1.056,0.0029921
-1.0254,0.0033538
-0.9948,0.0039171
-0.96418,0.0046184
-0.93357,0.0052515
-0.90295,0.0063116
-0.87234,0.0078106
-0.84172,0.009603
-0.8111,0.011916
-0.78049,0.01472
-0.74987,0.017819
-0.71926,0.020676
-0.68864,0.024069
-0.65802,0.026265
-0.62741,0.02847
-0.59679,0.031071
-0.56618,0.034048
-0.53556,0.038873
-0.50494,0.046281
-0.47433,0.056584
-0.44371,0.068123
-0.4131,0.081987
-0.38248,0.099604
-0.35186,0.12081
-0.32125,0.14928
-0.29063,0.18333
-0.26002,0.22547
-0.2294,0.28413
-0.19878,0.38589
-0.16817,0.5349
-0.13755,0.77573
-0.10694,1.2647
-0.076321,2.2353
-0.045705,3.8692
-0.015089,5.6042
0.015527,5.167
0.046143,3.4912
0.076759,2.2617
0.10738,1.5058
0.13799,1.0258
0.16861,0.71453
0.19922,0.50893
0.22984,0.3675
0.26046,0.27162
0.29107,0.20388
0.32169,0.15551
0.3523,0.12012
0.38292,0.094904
0.41354,0.075218
0.44415,0.060088
0.47477,0.048815
0.50538,0.039559
0.536,0.032372
0.56662,0.026665
0.59723,0.022127
0.62785,0.01848
0.65846,0.015479
0.68908,0.013134
0.7197,0.011142
0.75031,0.0097296
0.78093,0.0082821
0.81154,0.0073091
0.84216,0.0063999
0.87277,0.0055742
0.90339,0.0049908
0.93401,0.0044004
0.96462,0.0039442
0.99524,0.0034461
1.0259,0.0031065
1.0565,0.0027635
1.0871,0.0024164
1.1177,0.0022019
1.1483,0.0019068
1.1789,0.0017179
1.2096,0.0014931
1.2402,0.0013481
1.2708,0.0011911
1.3014,0.0010397
1.332,0.0009265
1.3626,0.00079716
1.3932,0.00071698
1.4239,0.00061395
1.4545,0.00055111
1.4851,0.00048274
1.5157,0.00040843
