0,0.16272,0.99396,0.44258,0.30654,0.51712,0.2101,0.37342,0.16234,0.24513,0.47561,0.17004,0.41218,0.41345,0.2048,0.40697,0.30316,0.34857,0.38397,0.27066,0.27844,0.99407,0.3498,0.55191,0.15212,0.99402,0.41718,0.30858,0.49038,0.35295,0.67263,0.47401,0.22563,0.318,0.4111,0.25212,0.74775,0.26661,0.46248,0.36455,0.48273,0.12813,0.6018,0.72661,0.15331,0.31862,0.086694,0.34264,0.41855,0.57773,0.33625,0.37348,0.38114,0.39431,0.67984,0.22089,0.52204,0.40554,0.19942,0.61568,0.14697,0.27209,0.20907,0.20556,0.22927,0.82175,0.39385,0.32731,0.21475,0.2655,0.40563,0.24713,0.59859,0.40507,0.53653,0.70843,0.35107,0.33086,0.47436,0.50048,0.44111,0.40653,0.37736,0.99915,0.37795,0.18762,0.34263,0.53366,0.57372,0.71146,0.69828,0.031132,0.9998,0.55535,0.041103,0.38469,0.27991
0.83728,0,0.99981,0.69729,0.6861,0.89652,0.49854,0.7173,0.49153,0.41437,0.84405,0.50369,0.59512,0.74026,0.40379,0.83959,0.48759,0.78838,0.69037,0.55546,0.62439,0.99963,0.74444,0.85559,0.51267,0.99919,0.69142,0.66939,0.60667,0.72053,0.74991,0.79815,0.65884,0.74838,0.65644,0.68389,0.83773,0.6833,0.86684,0.70711,0.87403,0.44238,0.84659,0.88327,0.41324,0.73549,0.23929,0.56329,0.78561,0.88012,0.72354,0.79412,0.67638,0.82955,0.90602,0.60701,0.71624,0.79517,0.48559,0.89009,0.43557,0.65042,0.36747,0.57524,0.6323,0.90708,0.77907,0.64321,0.39576,0.63335,0.77351,0.72452,0.84961,0.75267,0.74979,0.88649,0.79195,0.60061,0.69268,0.82184,0.74316,0.81967,0.67731,0.99989,0.55635,0.42342,0.82152,0.7162,0.85554,0.87238,0.88694,0.096205,0.99998,0.73619,0.065477,0.74072,0.47759
0.0060361,0.00018891,0,0.016012,0.0014807,0.0041241,0.0012588,0.0025374,0.00021095,0.018694,0.0045001,0.0002329,0.060967,0.0039207,0.0049714,0.001004,0.023296,0.00055854,0.005181,0.0024023,0.00097886,0.6806,0.0012754,0.015459,0.00012412,0.86842,0.010954,0.0013146,0.18767,0.0032012,0.43443,0.0059359,0.00016748,0.00067872,0.014515,0.00030991,0.41592,0.00038151,0.0024435,0.0025076,0.0038677,0.00011226,0.030924,0.13825,0.0004428,0.00061967,0.00053235,0.017697,0.0045287,0.010457,0.0011614,0.0010644,0.0066392,0.0013751,0.0382,0.00030969,0.062282,0.001869,0.0010475,0.022168,0.00024559,0.00062497,0.010742,0.00029727,0.0002385,0.42446,0.0016802,0.0028467,0.0090807,0.00071082,0.0020318,0.00015952,0.026867,0.002528,0.050498,0.098507,0.00050528,0.00687,0.042791,0.0088586,0.011061,0.0010894,0.0047364,0.97292,0.050675,0.0016706,0.00032507,0.087489,0.011833,0.12733,0.074552,0.00018223,0.99468,0.098198,0.0084076,0.0054546,0.014358
0.55742,0.30271,0.98399,0,0.42073,0.57221,0.31713,0.46423,0.29851,0.30715,0.54501,0.30648,0.46252,0.48935,0.28007,0.5061,0.36156,0.4661,0.46252,0.3657,0.39038,0.98656,0.45767,0.59361,0.30456,0.99039,0.48283,0.41909,0.52023,0.45305,0.68859,0.53679,0.38188,0.44977,0.47124,0.39636,0.76137,0.40303,0.53924,0.45569,0.55405,0.27012,0.62822,0.75521,0.26378,0.43883,0.16496,0.40977,0.49838,0.61302,0.44555,0.48025,0.45725,0.49419,0.68763,0.3599,0.56011,0.50109,0.31042,0.63784,0.27292,0.39665,0.26693,0.34525,0.37288,0.82763,0.4879,0.4193,0.28259,0.38762,0.49081,0.40839,0.62609,0.48749,0.57569,0.71734,0.47023,0.41135,0.52293,0.55577,0.50981,0.50082,0.45049,0.99844,0.42777,0.28004,0.47106,0.57031,0.60706,0.72263,0.72503,0.072649,0.99951,0.58889,0.052593,0.47755,0.3449
0.69346,0.3139,0.99852,0.57927,0,0.74735,0.33259,0.55015,0.30014,0.32971,0.68541,0.32186,0.50393,0.58971,0.29766,0.64963,0.39354,0.58412,0.54094,0.40943,0.44684,0.99661,0.56181,0.72611,0.30746,0.99645,0.55938,0.49432,0.5501,0.54812,0.71056,0.65109,0.43546,0.55431,0.5343,0.46729,0.79666,0.47548,0.69224,0.5427,0.71291,0.2644,0.7405,0.81572,0.27054,0.53556,0.14138,0.45736,0.61917,0.7549,0.54137,0.60147,0.53392,0.62744,0.81526,0.40166,0.62602,0.62831,0.33246,0.7789,0.2723,0.46098,0.28405,0.37213,0.4185,0.86818,0.59761,0.48506,0.29835,0.44565,0.60359,0.48857,0.74182,0.59385,0.65134,0.81181,0.59093,0.46549,0.58868,0.68144,0.59838,0.63677,0.53641,0.99964,0.47177,0.29741,0.60639,0.63158,0.7354,0.80584,0.80774,0.051614,0.99994,0.64828,0.051307,0.58112,0.37757
0.48288,0.10348,0.99588,0.42779,0.25265,0,0.1693,0.3405,0.10691,0.23587,0.45173,0.11348,0.39961,0.38883,0.18289,0.35122,0.28652,0.27925,0.35809,0.23878,0.23501,0.99622,0.29852,0.54365,0.083877,0.99476,0.39933,0.26122,0.48453,0.31034,0.6689,0.45258,0.13915,0.27282,0.39421,0.17224,0.74588,0.19279,0.42585,0.3301,0.46443,0.071934,0.59896,0.72792,0.11676,0.2551,0.065379,0.32926,0.37897,0.5757,0.28929,0.31585,0.35431,0.33966,0.68682,0.15505,0.51328,0.37954,0.16072,0.61792,0.1002,0.21458,0.19397,0.14134,0.15456,0.82125,0.35231,0.29387,0.19536,0.21026,0.37023,0.13567,0.59439,0.37632,0.52736,0.7271,0.28558,0.3054,0.46201,0.48327,0.41859,0.36009,0.35383,0.99938,0.36256,0.15695,0.24865,0.52683,0.57035,0.71179,0.70017,0.022105,0.99987,0.54779,0.038732,0.34567,0.26245
0.7899,0.50146,0.99874,0.68287,0.66741,0.8307,0,0.68653,0.49954,0.42318,0.78551,0.50599,0.59791,0.70545,0.42003,0.77235,0.49293,0.72965,0.67053,0.55645,0.6051,0.99855,0.70398,0.81102,0.51361,0.99848,0.67485,0.64788,0.60898,0.69818,0.75071,0.76149,0.62711,0.7024,0.64409,0.64395,0.83549,0.64824,0.79929,0.68021,0.81099,0.45917,0.81434,0.86569,0.42842,0.69176,0.26002,0.56309,0.74195,0.83224,0.68741,0.74188,0.65677,0.75368,0.87063,0.58756,0.70564,0.74839,0.49145,0.84666,0.4488,0.62933,0.37781,0.56811,0.61441,0.89887,0.72921,0.62426,0.40722,0.61544,0.73192,0.67594,0.81553,0.71728,0.73786,0.8645,0.73317,0.59392,0.68362,0.78135,0.71673,0.76089,0.66121,0.99976,0.55985,0.44107,0.7503,0.70701,0.81584,0.85455,0.86274,0.11415,0.99995,0.72595,0.069495,0.72129,0.48437
0.62658,0.2827,0.99746,0.53577,0.44985,0.6595,0.31347,0,0.28423,0.31114,0.61911,0.28843,0.4795,0.53298,0.27578,0.56671,0.36796,0.5103,0.49637,0.37511,0.39893,0.997,0.49662,0.66743,0.27947,0.99731,0.51892,0.44009,0.53389,0.48752,0.70049,0.60124,0.37442,0.48561,0.50144,0.40401,0.78228,0.41696,0.61719,0.48997,0.63283,0.23881,0.69321,0.78517,0.23919,0.46998,0.14475,0.42631,0.55143,0.69112,0.47573,0.52759,0.49046,0.54895,0.76712,0.35657,0.59656,0.55626,0.30247,0.72064,0.25023,0.41069,0.26552,0.33847,0.36575,0.85329,0.53734,0.44317,0.27976,0.39937,0.54231,0.41935,0.69291,0.53356,0.61657,0.77561,0.51037,0.42931,0.5554,0.61862,0.5529,0.55967,0.48758,0.99955,0.4384,0.26899,0.51905,0.60316,0.67962,0.77386,0.77138,0.055244,0.9999,0.62338,0.050424,0.52074,0.35327
0.83766,0.50847,0.99979,0.70149,0.69986,0.89309,0.50046,0.71577,0,0.42137,0.84179,0.51276,0.59699,0.74204,0.41015,0.83582,0.49553,0.78543,0.68992,0.55981,0.63016,0.9996,0.74593,0.85315,0.51646,0.99907,0.69284,0.67358,0.61078,0.73418,0.74954,0.79862,0.66236,0.75014,0.65874,0.68002,0.839,0.68353,0.86331,0.7071,0.87045,0.45141,0.84479,0.88219,0.41382,0.73535,0.24328,0.56844,0.78695,0.87735,0.72361,0.79379,0.67893,0.81069,0.90479,0.60728,0.71649,0.79358,0.49285,0.88649,0.442,0.65332,0.37109,0.58565,0.63246,0.90677,0.77507,0.64491,0.40161,0.6354,0.77194,0.72219,0.84944,0.75038,0.75158,0.88671,0.78977,0.60213,0.69547,0.8218,0.74308,0.81501,0.68119,0.9999,0.56574,0.42897,0.81751,0.71812,0.853,0.87336,0.88626,0.097649,0.99998,0.73599,0.066102,0.75437,0.48254
0.75487,0.58563,0.98131,0.69285,0.67029,0.76413,0.57682,0.68886,0.57863,0,0.74504,0.58573,0.63811,0.70339,0.50518,0.72907,0.55823,0.70655,0.68151,0.60761,0.64312,0.98565,0.6953,0.7678,0.59398,0.99191,0.68633,0.66325,0.64446,0.68898,0.76892,0.734,0.65343,0.69437,0.66797,0.66104,0.83808,0.6639,0.74736,0.68434,0.75693,0.56004,0.78091,0.83621,0.53155,0.6868,0.39737,0.61543,0.71963,0.77722,0.6864,0.71242,0.6731,0.72146,0.81565,0.63093,0.71774,0.72324,0.57102,0.79068,0.54878,0.65298,0.46561,0.62032,0.64474,0.88798,0.71148,0.6543,0.49445,0.64479,0.71197,0.67572,0.78081,0.70633,0.73572,0.8282,0.70842,0.63409,0.69925,0.74664,0.71199,0.72432,0.67407,0.99833,0.61139,0.53009,0.71323,0.72019,0.77273,0.8282,0.8232,0.24139,0.99952,0.7363,0.10612,0.70165,0.55186
