0.1753,0.034454,0.055174,0.28966
0.055173,0.003719,0.018704,0.12429
0.13148,0.019204,0.045397,0.21614
0.067851,0.0055608,0.02047,0.13891
0.073164,0.0063215,0.025168,0.14363
0.024802,0.00073604,0.0052059,0.048458
0.086057,0.0093617,0.029696,0.22062
0.064334,0.0047642,0.021051,0.11893
0.047227,0.0025929,0.014157,0.088748
0.27721,0.089004,0.077286,0.49393
0.057778,0.0038164,0.022551,0.10718
0.045103,0.0024117,0.01406,0.088436
0.059967,0.004286,0.0179,0.11872
0.053603,0.0033976,0.016144,0.1041
0.28564,0.087368,0.15109,0.44488
0.024835,0.0007173,0.0070811,0.046437
0.13396,0.021411,0.046574,0.2678
0.035555,0.0015232,0.0087953,0.072201
0.038024,0.0017218,0.0096086,0.074466
0.050681,0.0030716,0.013467,0.10015
0.063206,0.0045817,0.02317,0.11698
0.15061,0.024851,0.05391,0.23865
0.041329,0.0020112,0.01203,0.079713
0.070338,0.0064211,0.021833,0.18557
0.042332,0.002109,0.015239,0.085663
0.13157,0.019913,0.036413,0.2327
0.076523,0.007282,0.022748,0.16842
0.23522,0.059297,0.11707,0.36451
0.075803,0.0068125,0.0203,0.14734
0.035417,0.0014478,0.010789,0.065454
0.12384,0.018408,0.034297,0.24497
0.074916,0.0064788,0.026225,0.1399
0.035814,0.0014529,0.012281,0.06369
0.13618,0.020705,0.045039,0.22362
0.052607,0.0032551,0.01623,0.10111
0.057048,0.0039836,0.020299,0.12889
0.098927,0.012232,0.029873,0.21748
0.15364,0.025184,0.077434,0.23362
0.050017,0.0028328,0.019377,0.090268
0.046167,0.0025425,0.012111,0.090692
0.13035,0.019042,0.043043,0.21598
0.030931,0.0011403,0.0071486,0.060247
0.078196,0.0079202,0.023667,0.20434
0.09984,0.012585,0.031033,0.23588
0.049834,0.0028592,0.015141,0.091582
0.076101,0.0074451,0.022805,0.16955
0.058366,0.0039596,0.019563,0.11028
0.22042,0.057878,0.051258,0.41474
0.055015,0.0036738,0.01686,0.11557
0.048465,0.0027907,0.014403,0.095658
0.063239,0.0046598,0.025167,0.12781
0.17467,0.032642,0.08631,0.26769
0.073102,0.0066568,0.022062,0.16372
0.07379,0.0069054,0.025019,0.17666
0.051953,0.0031749,0.015144,0.099748
0.063574,0.0050144,0.019708,0.14754
0.037419,0.0016261,0.012066,0.070294
0.13216,0.019616,0.043286,0.22038
0.059961,0.0043693,0.018516,0.12429
0.044254,0.0023833,0.010102,0.090607
0.21178,0.047551,0.1149,0.31783
0.2347,0.057938,0.14055,0.35053
0.084083,0.0084397,0.02324,0.16545
0.052693,0.0032249,0.019297,0.10101
0.063697,0.0046676,0.024382,0.11944
0.096464,0.012078,0.02796,0.24794
0.066568,0.0051014,0.024903,0.12452
0.10759,0.015548,0.028736,0.26013
0.23098,0.058352,0.095243,0.37435
0.17098,0.031348,0.082755,0.26346
0.048633,0.0028237,0.014524,0.096261
0.036761,0.0015709,0.01231,0.069631
0.061974,0.0045824,0.018979,0.12243
0.051407,0.0031229,0.014635,0.09955
0.072109,0.0063686,0.020949,0.14869
0.073298,0.0068942,0.022548,0.18732
0.052586,0.0031408,0.020477,0.09586
0.058849,0.0041013,0.017277,0.11429
0.15285,0.032248,0.038219,0.38428
0.039169,0.0018277,0.0099915,0.07675
0.22238,0.055497,0.068736,0.37805
0.03303,0.0012875,0.0088661,0.063614
0.061775,0.0046119,0.019748,0.12874
0.19336,0.041165,0.065779,0.31077
0.11907,0.017992,0.034601,0.27524
0.054275,0.0035595,0.015281,0.11081
0.025963,0.00081279,0.0050958,0.051335
0.10932,0.015776,0.03165,0.29381
0.062011,0.0047135,0.019798,0.13424
0.06185,0.004528,0.016367,0.11976
0.088178,0.0095827,0.027023,0.19018
0.064792,0.0049252,0.02261,0.12579
0.18371,0.037156,0.063034,0.29506
0.092813,0.010551,0.026464,0.1898
0.11834,0.018034,0.035112,0.29031
0.054115,0.0033944,0.018392,0.10186
0.092536,0.01132,0.027422,0.25175
